auction_title,auction_url,auction_date,lot_url,lot_number,artist,title,estimate,price,currency,image_url,estimate_low,estimate_high,currency_code,auction_date_clean,date_obj,year,month,price_usd_raw,price_usd_2026,applied_rate,estimate_low_usd_2026,estimate_high_usd_2026
MODERN & CONTEMPORARY ART,https://www.phillips.com/auction/UK010326,7 March 12pm GMT 2026,https://www.phillips.com/detail/poppy-jones/230324,230324.0,Poppy Jones,Dreamers II,"£10,000 - £15,000",24510.0,£,https://assets.phillips.com/auctions/UK010326/230324_001.jpg,10000.0,15000.0,GBP,2026-03-07,2026-03-07,2026,3,32550.92217,32550.92217,1.328067,13280.670000000002,19921.005
MODERN & CONTEMPORARY ART,https://www.phillips.com/auction/UK010326,7 March 12pm GMT 2026,https://www.phillips.com/detail/joseph-yaeger/231753,231753.0,Joseph Yaeger,"Thanks, Democritus","£20,000 - £30,000",49020.0,£,https://assets.phillips.com/auctions/UK010326/231753_001.jpg,20000.0,30000.0,GBP,2026-03-07,2026-03-07,2026,3,65101.84434,65101.84434,1.328067,26561.340000000004,39842.01
MODERN & CONTEMPORARY ART,https://www.phillips.com/auction/UK010326,7 March 12pm GMT 2026,https://www.phillips.com/detail/sarah-cunningham/230396,230396.0,Sarah Cunningham,Mother Wound,"£35,000 - £55,000",49020.0,£,https://assets.phillips.com/auctions/UK010326/230396_001.jpg,35000.0,55000.0,GBP,2026-03-07,2026-03-07,2026,3,65101.84434,65101.84434,1.328067,46482.345,73043.68500000001
MODERN & CONTEMPORARY ART,https://www.phillips.com/auction/UK010326,7 March 12pm GMT 2026,https://www.phillips.com/detail/lucas-arruda/230235,230235.0,Lucas Arruda,Untitled 14,"£80,000 - £120,000",109650.0,£,https://assets.phillips.com/auctions/UK010326/230235_001.jpg,80000.0,120000.0,GBP,2026-03-07,2026-03-07,2026,3,145622.54655,145622.54655,1.328067,106245.36000000002,159368.04
MODERN & CONTEMPORARY ART,https://www.phillips.com/auction/UK010326,7 March 12pm GMT 2026,https://www.phillips.com/detail/yu-nishimura/231482,231482.0,Yu Nishimura,On the Table,"£20,000 - £30,000",38700.0,£,https://assets.phillips.com/auctions/UK010326/231482_001.jpg,20000.0,30000.0,GBP,2026-03-07,2026-03-07,2026,3,51396.1929,51396.1929,1.328067,26561.340000000004,39842.01
MODERN & CONTEMPORARY ART,https://www.phillips.com/auction/UK010326,7 March 12pm GMT 2026,https://www.phillips.com/detail/cecily-brown/231929,231929.0,Cecily Brown,Untitled,"£40,000 - £60,000",54180.0,£,https://assets.phillips.com/auctions/UK010326/231929_001.jpg,40000.0,60000.0,GBP,2026-03-07,2026-03-07,2026,3,71954.67006,71954.67006,1.328067,53122.68000000001,79684.02
MODERN & CONTEMPORARY ART,https://www.phillips.com/auction/UK010326,7 March 12pm GMT 2026,https://www.phillips.com/detail/marlene-dumas/231926,231926.0,Marlene Dumas,The Old Model Meets the New Model,"£60,000 - £80,000",90300.0,£,https://assets.phillips.com/auctions/UK010326/231926_001.jpg,60000.0,80000.0,GBP,2026-03-07,2026-03-07,2026,3,119924.45010000002,119924.45010000002,1.328067,79684.02,106245.36000000002
MODERN & CONTEMPORARY ART,https://www.phillips.com/auction/UK010326,7 March 12pm GMT 2026,https://www.phillips.com/detail/lisa-yuskavage/231070,231070.0,Lisa Yuskavage,Easter,"£120,000 - £180,000",154800.0,£,https://assets.phillips.com/auctions/UK010326/231070_001.jpg,120000.0,180000.0,GBP,2026-03-07,2026-03-07,2026,3,205584.7716,205584.7716,1.328067,159368.04,239052.06000000003
MODERN & CONTEMPORARY ART,https://www.phillips.com/auction/UK010326,7 March 12pm GMT 2026,https://www.phillips.com/detail/tracey-emin/230940,230940.0,Tracey Emin,The Closest I am to LOVE is You,"£100,000 - £150,000",167700.0,£,https://assets.phillips.com/auctions/UK010326/230940_001.jpg,100000.0,150000.0,GBP,2026-03-07,2026-03-07,2026,3,222716.8359,222716.8359,1.328067,132806.7,199210.05000000002
MODERN & CONTEMPORARY ART,https://www.phillips.com/auction/UK010326,7 March 12pm GMT 2026,https://www.phillips.com/detail/tony-cragg/231028,231028.0,Tony Cragg,Flotsam,"£120,000 - £180,000",116100.0,£,https://assets.phillips.com/auctions/UK010326/231028_001.jpg,120000.0,180000.0,GBP,2026-03-07,2026-03-07,2026,3,154188.5787,154188.5787,1.328067,159368.04,239052.06000000003
